From Timestamp,HH Electricity (kWh),HH Cooling (kWh),HH Boiler (kWh),DE Electricity (kWh),DE Boiler (kWh)
2018-01-09 10:30:00,26.6,0.5889,157.0,,127.1
2018-01-09 11:00:00,29.4,0.6152,97.0,,124.9
2018-01-09 11:30:00,29.3,0.626,103.3,,126.3
2018-01-09 12:00:00,29.5,0.6309,164.39999999999995,,145.1
2018-01-09 12:30:00,29.2,0.627,82.19999999999997,,153.0
2018-01-09 13:00:00,27.9,0.6533,106.6,,150.10000000000005
2018-01-09 13:30:00,29.1,0.6172,148.60000000000005,,155.20000000000005
2018-01-09 14:00:00,28.4,0.6074,81.10000000000002,,157.0
2018-01-09 14:30:00,29.0,0.5859,118.1,,150.60000000000005
2018-01-09 15:00:00,27.9,0.6396,129.6,,153.6
2018-01-09 15:30:00,28.5,0.6025,82.3,,181.4
2018-01-09 16:00:00,27.91,0.5068,130.1,,175.4
2018-01-09 16:30:00,26.7,0.5908,106.7,,112.4
2018-01-09 17:00:00,26.0,0.623,91.5,,129.5
2018-01-09 17:30:00,23.5,0.7031,120.7,,101.0
2018-01-09 18:00:00,20.7,0.748,12.8,,24.5
2018-01-09 18:30:00,17.3,0.625,14.2,,62.5
2018-01-09 19:00:00,16.5,0.6816,1.3,,24.5
2018-01-09 19:30:00,16.7,0.6865,4.1000000000000005,,20.8
2018-01-09 20:00:00,16.8,0.5674,1.1,,60.5
2018-01-09 20:30:00,15.9,0.5693,1.2,,23.6
2018-01-09 21:00:00,13.41,0.623,1.2,,20.9
2018-01-09 21:30:00,13.3,0.6309,1.2,,60.5
2018-01-09 22:00:00,13.1,0.627,2.3,,23.6
2018-01-09 22:30:00,12.2,0.6006,1.6,,20.9
2018-01-09 23:00:00,12.7,0.6035,2.2,,59.1
2018-01-09 23:30:00,12.8,0.6016,3.5,,22.9
